nome,preco,unidade
Abacate,11.0,kg
Abacaxi,11.5,unidade
Banana Caturra,4.166666666666667,kg
Banana Maçã,7.9,kg
Banana Ouro,6.0,kg
Banana Prata,4.9,kg
Laranja Lima,8.1,kg
Laranja Suco,6.1,kg
Limão Taiti,8.4,kg
Maçã Gala Importada,15.9,kg
Mamão Formosa,11.5,kg
Manga,11.8,kg
Maracujá,11.0,kg
Melão,10.5,kg
Morango,32.8,kg
Ponkan,7.1,kg
Couve-flor,4.95,unidade
Escarola,2.7,unidade
Escarola Roxa,2.8,unidade
Espinafre,3.5,unidade
Inhame,7.1,kg
Mandioca,6.5,kg
Ora pro Nobis,4.95,unidade
Pepino Japonês,9.9,kg
Pinhão,11.285714285714286,kg
Rabanete,4.2,unidade
Repolho Branco,3.5,unidade
Repolho Roxo,3.7,unidade
Rúcula,4.95,unidade
Salsão,4.5,unidade
Salsinha,2.6,unidade
Tomate Cereja,15.0,kg
Tomate Italiano,10.9,kg
Vagem comum orgânica,16.333333333333336,kg
Abóbora de pescoço orgânica,5.2,kg
Abobrinha orgânica,8.5,kg
Agrião,4.95,unidade
Alface Americana,2.85,unidade
Alface Crespa,2.7,unidade
Alface Lisa,2.7,unidade
Alface Mimosa,2.7,unidade
Alface Romana,2.7,unidade
Alface Roxa,2.7,unidade
Alho poró,2.5,unidade
Almeirão Pão de Açúcar,3.5,unidade
Batata Doce,8.3,kg
Batata Inglesa,9.0,kg
Berinjela,8.1,kg
Beterraba,5.2,unidade
Brócolis japonês,4.65,unidade
Brócolis Rama,4.65,unidade
Cebola,9.0,kg
Cebolinha,2.5,unidade
Cenoura,5.95,unidade
Chuchu,7.1,kg
Coentro,2.7,unidade
Couve Chinesa,3.7,unidade
Couve Manteiga,3.5,unidade
