nome,preco,unidade
Repolho Verde,3.50,unidade
Inhame,12.0,kg
Gengibre,37.5,kg
Pepino Japones,11.0,kg
Tomate Grape,28.0,kg
cebola roxa,13.0,kg
Cenoura,10.0,kg
Cebola,12.0,kg
Limao Tahiti,12.0,kg
Maca,15.0,kg
Manga,6.00,unidade
Ponkan,5.00,kg
Abacate,6.50,unidade
Mexirica,5.00,kg
Melao,13.00,unidade
Mamao,12.00,unidade
Escarola Frise,2.50,unidade
Alface Americana,3.50,unidade
Alface Crespa,2.50,unidade
Almeirao Pão de Açucar,4.50,unidade
Cebolinha Verde,2.50,unidade
Cheiro Verde (cebolinha + salsinha),2.50,unidade
Couve Manteiga,11.666666666666668,kg
Escarola,2.50,unidade
Batata Doce,7.50,kg
Batata Salsa,17.5,kg
Berinjela,10.0,kg
Beterraba,9.0,kg
Brocolis de Cabeça,6.00,unidade
Aipim a Vacúo,11.00,kg
Tomate,9.5,kg
Chuchu,5.00,kg
Couve Flor,6.00,unidade
Espinafre,4.50,unidade
Feijao de Vagem,20.0,kg
Pepino,9.0,kg
Pimentao Verde,12.5,kg
Repolho Roxo,5.00,unidade
Salsinha,2.50,unidade
Alface Lisa,2.50,unidade
Alface Roxa,2.50,unidade
Tomate Grape,28.0,kg
Abobora Cabotia,8.00,kg
Abobora de Pescoço Mini,7.00,kg
Abobrinha,12.0,kg
Acelga,4.50,unidade
Aipim,6.00,kg
Alho,41.66666666666667,kg
Alho Poro,4.50,unidade
Batata,8.50,kg
Pera,27.77777777777778,kg
Abacaxi Gold Médio,12.00,unidade
Banana Caturra,6.00,kg
Banana Prata,7.00,kg
Laranja de Suco,5.00,kg
Laranja Lima,7.00,kg
Limao Rosa,10.0,kg
Laranja Bahia,9.00,kg
