nome,preco,unidade
Tomate Italiano,7.0,kg
Escarola,2.5,unidade
Espinafre,4.0,unidade
Hortelã,3.0,unidade
Ora pro nobis,3.0,unidade
Repolho roxo,4.0,unidade
Repolho verde ,4.0,unidade
Rúcula,4.0,unidade
Rúcula,4.0,unidade
Salsinha,3.0,unidade
Abobrinha Italiana,7.5,kg
Alho Poró,3.0,unidade
Almeirão Roxo,3.0,unidade
Batata Doce Roxa,4.5,kg
Batata,6.5,kg
Beringela ,7.0,kg
Beterraba,5.5,unidade
Cebola branca,7.5,kg
Cenoura,5.5,unidade
Gengibre ,25.0,kg
Manjericão,3.0,unidade
Tomate cereja,6.0,unidade
Abacate,5.5,kg
Abacaxi perola,10.0,unidade
Banana Caturra,5.0,kg
Banana Prata,6.0,kg
Limão rosa,4.5,kg
Limão Taiti,5.0,kg
Maçã Importada,10.0,kg
Manga Palmer,7.0,kg
Maracujá,8.0,kg
Melão,12.0,kg
Morango,40.0,kg
Alface americana,3.0,unidade
Alface crespa roxa,2.5,unidade
Alface crespa verde,2.5,unidade
Alface lisa,2.5,unidade
Brócolis japones,5.0,unidade
Brócolis ramoso,5.0,unidade
Cebolinha,3.0,kg
Cheiro Verde,3.5,unidade
Coentro,3.0,unidade
Couve Chinesa,4.0,unidade
Couve flor,5.0,unidade
Couve Verde,3.0,unidade
