nome,preco,unidade
Batata Salsa,25.0,kg
Inhame,10.0,kg
Agrião, 5.00 ,unidade
Mexerica,8.0,kg
Repolho Roxo, 4.00 ,unidade
Alface Mimosa Verde, 2.50 ,unidade
Laranja Valencia,8.0,kg
Pepino japonês,12.857142857142858,kg
Alho Porro, 2.50 ,unidade
Abobrinha,12.0,kg
Cheiro Verde, 3.50 ,unidade
Alface Mimosa Roxa, 2.50 ,unidade
Raditti, 2.50 ,unidade
Gengibre,30.0,kg
Banana Prata, 6.00 ,kg
Banana Caturra, 5.00 ,kg
Abacaxi Pérola, 12.00 ,unidade
Ponkan,8.0,kg
Abóbora Pescoço, 10.00 ,kg
Beterraba, 5.00 ,unidade
Cenoura,10.0,kg
Alface Lisa, 2.50 ,unidade
Alface Americana, 3.00 ,unidade
Alface Crespa, 2.50 ,unidade
Abacate,10.0,kg
Tomate,14.0,kg
Rúcula, 4.00 ,unidade
Limão Rosa,6.0,kg
Coentro, 3.00 ,unidade
Tomatinho,23.333333333333336,kg
Salsinha, 2.50 ,unidade
Repolho Verde, 4.00 ,unidade
Melão  Amarelo, 26.00 ,kg
Manga Palmer,16.42857142857143,kg
Mandioca,8.0,kg
Maça Fuji,18.0,kg
