nome,preco
abacate,11.0
banana caturra,4.166666666666667
banana maçã,7.9
banana ouro,6.0
banana prata,4.9
laranja lima,8.1
laranja suco,6.1
limão taiti,8.4
maçã gala importada,15.9
manga,11.8
maracujá,11.0
morango,32.8
ponkan,7.1
inhame,7.1
mandioca,6.5
pepino japonês,9.9
pinhão,11.285714285714286
tomate cereja,15.0
tomate italiano,10.9
vagem comum orgânica,16.333333333333336
abóbora de pescoço orgânica,5.2
abobrinha orgânica,8.5
batata doce,8.3
batata inglesa,9.0
berinjela,8.1
cebola,9.0
chuchu,7.1
mamão formosa,11.5
melão,10.5
inhame,12.0
gengibre,37.5
pepino japones,11.0
tomate grape,28.0
cebola roxa,13.0
cenoura,10.0
cebola,12.0
limao tahiti,12.0
maca,15.0
ponkan,5.0
mexirica,5.0
couve manteiga,11.666666666666668
batata doce,7.5
batata salsa,17.5
berinjela,10.0
beterraba,9.0
aipim a vacúo,11.0
tomate,9.5
chuchu,5.0
feijao de vagem,20.0
pepino,9.0
pimentao verde,12.5
tomate grape,28.0
abobora cabotia,8.0
abobora de pescoço mini,7.0
abobrinha,12.0
aipim,6.0
alho,41.66666666666667
batata,8.5
pera,27.77777777777778
banana caturra,6.0
banana prata,7.0
laranja de suco,5.0
laranja lima,7.0
limao rosa,10.0
laranja bahia,9.0
abóbora pescoço  a vácuo,11.5
abobrinha,11.8
açafrão da terra,25.0
batata doce,9.8
batata inglesa,11.0
batata salsa,12.4
cebola,15.0
cenoura,14.444444444444445
cenoura ralada,21.6
chuchu,8.6
ervilha torta,29.5
amora  congelada,34.13333333333333
gengibre,35.0
inhame,9.0
lentilha canadense,15.0
mandioca  a vácuo,11.5
mix de salada higienizada,61.66666666666667
mix de sopa,21.25
mix de yakisoba,28.333333333333336
mix repolhos e cenoura,19.6
carambola,18.75
goiaba,12.0
laranja lima,10.5
laranja suco,10.5
limão rosa,5.6
limão taiti,9.8
manga palmer,15.0
maracujá,14.000000000000002
couve picada,33.0
mix de folhas higienizadas s,61.66666666666667
mix de salada higienizada,61.66666666666667
mix de sopa,21.25
mix de yakisoba,28.333333333333336
mix repolhos e cenoura,19.6
repolho picado,22.0
mexerica,9.2
mirtilo  congelado,46.666666666666664
morango  congelado,38.666666666666664
repolho roxo picado,22.0
pepino,11.9
ponkan,9.2
tomate cereja,23.000000000000004
tomate,13.8
vagem,26.0
tomate cereja,23.000000000000004
tomate,13.8
tomate italiano,7.0
abobrinha italiana,7.5
batata doce roxa,4.5
batata,6.5
beringela ,7.0
cebola branca,7.5
gengibre ,25.0
abacate,5.5
banana caturra,5.0
banana prata,6.0
limão rosa,4.5
limão taiti,5.0
maçã importada,10.0
manga palmer,7.0
maracujá,8.0
melão,12.0
morango,40.0
cebolinha,3.0
batata salsa,25.0
inhame,10.0
mexerica,8.0
laranja valencia,8.0
pepino japonês,12.857142857142858
abobrinha,12.0
gengibre,30.0
banana prata,6.0
banana caturra,5.0
ponkan,8.0
abóbora pescoço,10.0
cenoura,10.0
abacate,10.0
tomate,14.0
limão rosa,6.0
tomatinho,23.333333333333336
melão  amarelo,26.0
manga palmer,16.42857142857143
mandioca,8.0
maça fuji,18.0
banana prata,9.0
laranja seleta,10.0
limão galego,12.0
