nome,preco
abacaxi,11.5
couve-flor,4.95
escarola,2.7
escarola roxa,2.8
espinafre,3.5
ora pro nobis,4.95
rabanete,4.2
repolho branco,3.5
repolho roxo,3.7
rúcula,4.95
salsão,4.5
salsinha,2.6
agrião,4.95
alface americana,2.85
alface crespa,2.7
alface lisa,2.7
alface mimosa,2.7
alface romana,2.7
alface roxa,2.7
alho poró,2.5
almeirão pão de açúcar,3.5
beterraba,5.2
brócolis japonês,4.65
brócolis rama,4.65
cebolinha,2.5
cenoura,5.95
coentro,2.7
couve chinesa,3.7
couve manteiga,3.5
repolho verde,3.5
manga,6.0
abacate,6.5
melao,13.0
mamao,12.0
escarola frise,2.5
alface americana,3.5
alface crespa,2.5
almeirao pão de açucar,4.5
cebolinha verde,2.5
cheiro verde (cebolinha + salsinha),2.5
escarola,2.5
brocolis de cabeça,6.0
couve flor,6.0
espinafre,4.5
repolho roxo,5.0
salsinha,2.5
alface lisa,2.5
alface roxa,2.5
acelga,4.5
alho poro,4.5
abacaxi gold médio,12.0
couve flor,5.8
abacate,6.9
abacaxi,13.9
banana caturra,5.0
banana prata,5.2
cabotiá,15.9
alface americana,3.9
alface crespa,3.5
alho poró,5.0
brócolis japonês,5.9
cebolinha,3.0
couve,4.5
maça,2.95
mamão formosa,13.7
escarola,3.5
espinafre,4.2
melão,14.5
salsinha,3.0
pimentão amarelo,4.0
pimentão vermelho,4.0
repolho verde,5.2
escarola,2.5
espinafre,4.0
hortelã,3.0
ora pro nobis,3.0
repolho roxo,4.0
repolho verde ,4.0
rúcula,4.0
rúcula,4.0
salsinha,3.0
alho poró,3.0
almeirão roxo,3.0
beterraba,5.5
cenoura,5.5
manjericão,3.0
tomate cereja,6.0
abacaxi perola,10.0
alface americana,3.0
alface crespa roxa,2.5
alface crespa verde,2.5
alface lisa,2.5
brócolis japones,5.0
brócolis ramoso,5.0
cheiro verde,3.5
coentro,3.0
couve chinesa,4.0
couve flor,5.0
couve verde,3.0
agrião,5.0
repolho roxo,4.0
alface mimosa verde,2.5
alho porro,2.5
cheiro verde,3.5
alface mimosa roxa,2.5
raditti,2.5
abacaxi pérola,12.0
beterraba,5.0
alface lisa,2.5
alface americana,3.0
alface crespa,2.5
rúcula,4.0
coentro,3.0
salsinha,2.5
repolho verde,4.0
abacate,7.0
atemoia,9.0
coco seco,7.0
coco verde,6.0
ovos,16.0
alho poró,5.5
brócolis comum,7.0
ovos,10.0
rabanete,5.0
repolho roxo,7.0
repolho verde,6.5
mamão,12.0
couve chinesa,5.5
agrião,4.0
alface crespa,4.0
alface lisa,4.0
alface roxa,4.0
alface romana,4.0
capim limão,4.0
cheiro verde,4.0
chicória,4.0
coentro,4.0
couve,4.0
espinafre,4.0
manjericão,4.0
mostarda,4.0
rúcula,4.0
salsinha,4.0
mix de temperos,6.5
capuchinha,4.0
couve kale,4.0
erva cidreira,4.0
hortelã,4.0
erva doce,4.0
mix de chá,4.0
peixinho da horta,4.0
abacaxi,14.0
barra de cacau e banana,7.5
ovos,16.0
alho poró,5.5
brócolis comum,7.0
ovos,10.0
rabanete,5.0
repolho roxo,7.0
repolho verde,6.5
couve chinesa,5.5
barra de cacau e banana,7.5
abacate,7.0
