nome,preco,unidade
Gengibre,24.2,kg
Inhame,12.133333333333335,kg
Limão Rosa,7.666666666666666,kg
Ovo Caipira,14.90,unidade
Pinhão,12.0,kg
Repolho Roxo,5.00,unidade
Repolho Verde,5.00,unidade
Salsinha,4.00,unidade
Tomate Grape,18.700000000000003,kg
Tomate,14.3,kg
Abacate,7.18,unidade
Abacaxi,16.00,kg
Abóbora Cabotia,7.20,unidade
Banana Caturra,5.77,unidade
Banana Prata,5.22,unidade
Laranja Bahia,11.0,kg
Laranja Lima,11.0,kg
Laranja Pêra,8.8,kg
Limão Rosa,7.666666666666666,kg
Limão Tahiti,12.1,kg
Maçã Fuji,17.7,kg
Manga Palmer,16.94,kg
Maracujá,22.0,kg
Mexerica,10.0,kg
Morango,9.90,unidade
Ovo Caipira,14.90,unidade
Pera Importada,28.6,kg
Ponkan,10.9,kg
Tomate Grape,18.700000000000003,kg
Tomate,14.3,kg
Abóbora Cabotia,7.20,unidade
Abóbora Picada á Vácuo  1Kg,12.00,unidade
Abobrinha,12.092592592592593,kg
Acelga,4.00,unidade
Aipim a Vácuo  1Kg,12.00,unidade
Alface Americana,4.00,unidade
Alface Crespa Verde,4.00,unidade
Alface Mimosa Roxa,4.00,unidade
Alho Poró,3.00,unidade
Batata Doce,9.9,kg
Batata Doce Salmão,13.0,kg
Batata Inglesa,18.7,kg
Batata Salsa/Mandioquinha,19.3,kg
Beterraba,6.00,unidade
Brócolis,6.00,unidade
Cebola,16.5,kg
Cebolinha,3.00,unidade
Cenoura,6.50,unidade
Cogumelo Shitake 200g – Cogills,94.5,kg
Couve Flor,6.00,unidade
Couve,4.00,unidade
Cúrcuma In Natura,25.0,kg
Escarola,4.00,unidade
Espinafre,4.00,unidade
