nome,preco,unidade
Noz Pecan,90.0,kg
Tomate,12.0,kg
Cenoura,10.0,kg
Gengibre,35.0,kg
Brócolis Comum,6.00,unidade
Brócolis Japonês,6.00,unidade
Mandioca,9.0,kg
Tomate cereja,24.0,kg
Abobrinha,11.500000000000002,kg
Couve-Flor,6.00,unidade
Alecrim,3.50,unidade
Escarola,3.50,unidade
Agrião da água,4.50,unidade
Alface Americana,3.00,unidade
Alface Crespa,3.00,unidade
Hortelã,3.50,unidade
Salsinha,3.50,unidade
Rúcula,4.50,unidade
Alface Mimosa verde,3.00,unidade
Alho poró,4.00,unidade
Almeirão tipo catalonha,4.50,unidade
Batata Doce tipo abóbora,10.5,kg
Espinafre,4.20,unidade
Batata Salsa,8.00,unidade
Abóbora Cabotiá,6.5,kg
Abóbora cabotiá,8.45,unidade
Abóbora paulista,6.5,kg
Cebola,15.0,kg
Cebola roxa,17.0,kg
Cebolinha,3.50,unidade
Cheiro verde,3.50,unidade
Chuchu,9.0,kg
Couve manteiga,4.30,unidade
Couve-Rábano,3.50,unidade
Couve verde escura,4.30,unidade
Cúrcuma,45.0,kg
Abóbora seca,6.5,kg
Mix de MINI pimentões coloridos,25.0,kg
Mix de pimentão vermelho e amarelo,22.0,kg
Mix de pimentão vermelho e amarelo,22.0,kg
Nirá,3.50,unidade
Pepino Japonês,11.0,kg
Quiabo,28.0,kg
Rabanete,4.50,unidade
Repolho Verde,5.00,unidade
Tomilho,3.50,unidade
Laranja,8.0,kg
Abacate,12.0,kg
Avocado,16.0,kg
Abacaxi pérola,12.90,unidade
Maçã fuji,16.0,kg
Mamão Formosa,12.0,kg
Mamão Formosa,12.0,kg
Mamão Formosa,12.000000000000002,kg
Ponkan,12.0,kg
Laranja Bahia,9.0,kg
Banana Caturra,6.0,kg
Limão,9.0,kg
Limão Taiti,9.0,kg
Mexerica,12.0,kg
Melão,12.0,kg
Melão,11.999999999999998,kg
Melão,12.0,kg
Melão,12.0,kg
